C1	220uF	
C2	1uF	
C3	47uF	
C4	47uF	
C5	2.2uF	
C6	0.1uF	
C7	1.0uF	
C8	0.1uF	
C9	10uF	
C10	0.1uF	
C11	0.1uF	
C12	0.1uF	
C13	47uF	
C14	1uF	
C15	0.1uF	
C16	2.2uF	
C17	220pF	
C18	1uF	
C19	1.0uF	
C20	1.0uF	
C21	2.2uF	
D1	Green	
D2	Green	
D3	Yellow	
D4	Yellow	
D5	Red	
J1		
J2		
J3		
L1	22uH	
P9		
Q1	TIP41	
Q2	TIP41	
Q3	TIP41	
Q4	TIP41	
Q5	TIP41	
Q6	TIP41	
R1	33K	
R2	10K	
R3	33K	
R4	10K	
R5	33K	
R6	10K	
R7	100	
R8	100	
R9	100	
R10	100	
R11	100	
R12	470	
R13	100	
R14	1	
R15	1	
R16	1	
R17	1	
R18	1	
R19	1	
R20	470	
R21	470	
R22	470	
R23	470	
R24	470	
R25	5.1	
R26	10K	
R27	47K	
R28	1K	
R29	1K	
R30	1K	
R31	1K	
R32	1K	
R33	1K	
SW1		
SW2	On	
SW3	Off/Cancel	
SW4	(omit)	
U1	PCA9685	
U2	MCP23008-tssop	
U3	LM324	
U4	LM324	
U5	LM7805	
U6	CS4270	
U7	LM4875	
